,indice,notes,caracterisation,indicatif_present_1s,indicatif_present_1s_audio,indicatif_present_2s,indicatif_present_2s_audio,indicatif_present_3s,indicatif_present_3s_audio,indicatif_present_1p,indicatif_present_1p_audio,indicatif_present_2p,indicatif_present_2p_audio,indicatif_present_3p,indicatif_present_3p_audio,indicatif_passe_compose_1s,indicatif_passe_compose_1s_audio,indicatif_passe_compose_2s,indicatif_passe_compose_2s_audio,indicatif_passe_compose_3s,indicatif_passe_compose_3s_audio,indicatif_passe_compose_1p,indicatif_passe_compose_1p_audio,indicatif_passe_compose_2p,indicatif_passe_compose_2p_audio,indicatif_passe_compose_3p,indicatif_passe_compose_3p_audio,indicatif_imparfait_1s,indicatif_imparfait_1s_audio,indicatif_imparfait_2s,indicatif_imparfait_2s_audio,indicatif_imparfait_3s,indicatif_imparfait_3s_audio,indicatif_imparfait_1p,indicatif_imparfait_1p_audio,indicatif_imparfait_2p,indicatif_imparfait_2p_audio,indicatif_imparfait_3p,indicatif_imparfait_3p_audio,indicatif_plus_que_parfait_1s,indicatif_plus_que_parfait_1s_audio,indicatif_plus_que_parfait_2s,indicatif_plus_que_parfait_2s_audio,indicatif_plus_que_parfait_3s,indicatif_plus_que_parfait_3s_audio,indicatif_plus_que_parfait_1p,indicatif_plus_que_parfait_1p_audio,indicatif_plus_que_parfait_2p,indicatif_plus_que_parfait_2p_audio,indicatif_plus_que_parfait_3p,indicatif_plus_que_parfait_3p_audio,indicatif_passe_simple_1s,indicatif_passe_simple_1s_audio,indicatif_passe_simple_2s,indicatif_passe_simple_2s_audio,indicatif_passe_simple_3s,indicatif_passe_simple_3s_audio,indicatif_passe_simple_1p,indicatif_passe_simple_1p_audio,indicatif_passe_simple_2p,indicatif_passe_simple_2p_audio,indicatif_passe_simple_3p,indicatif_passe_simple_3p_audio,indicatif_passe_anterieur_1s,indicatif_passe_anterieur_1s_audio,indicatif_passe_anterieur_2s,indicatif_passe_anterieur_2s_audio,indicatif_passe_anterieur_3s,indicatif_passe_anterieur_3s_audio,indicatif_passe_anterieur_1p,indicatif_passe_anterieur_1p_audio,indicatif_passe_anterieur_2p,indicatif_passe_anterieur_2p_audio,indicatif_passe_anterieur_3p,indicatif_passe_anterieur_3p_audio,indicatif_futur_simple_1s,indicatif_futur_simple_1s_audio,indicatif_futur_simple_2s,indicatif_futur_simple_2s_audio,indicatif_futur_simple_3s,indicatif_futur_simple_3s_audio,indicatif_futur_simple_1p,indicatif_futur_simple_1p_audio,indicatif_futur_simple_2p,indicatif_futur_simple_2p_audio,indicatif_futur_simple_3p,indicatif_futur_simple_3p_audio,indicatif_futur_anterieur_1s,indicatif_futur_anterieur_1s_audio,indicatif_futur_anterieur_2s,indicatif_futur_anterieur_2s_audio,indicatif_futur_anterieur_3s,indicatif_futur_anterieur_3s_audio,indicatif_futur_anterieur_1p,indicatif_futur_anterieur_1p_audio,indicatif_futur_anterieur_2p,indicatif_futur_anterieur_2p_audio,indicatif_futur_anterieur_3p,indicatif_futur_anterieur_3p_audio,conditionnel_present_1s,conditionnel_present_1s_audio,conditionnel_present_2s,conditionnel_present_2s_audio,conditionnel_present_3s,conditionnel_present_3s_audio,conditionnel_present_1p,conditionnel_present_1p_audio,conditionnel_present_2p,conditionnel_present_2p_audio,conditionnel_present_3p,conditionnel_present_3p_audio,conditionnel_passe_1s,conditionnel_passe_1s_audio,conditionnel_passe_2s,conditionnel_passe_2s_audio,conditionnel_passe_3s,conditionnel_passe_3s_audio,conditionnel_passe_1p,conditionnel_passe_1p_audio,conditionnel_passe_2p,conditionnel_passe_2p_audio,conditionnel_passe_3p,conditionnel_passe_3p_audio,subjonctif_present_1s,subjonctif_present_1s_audio,subjonctif_present_2s,subjonctif_present_2s_audio,subjonctif_present_3s,subjonctif_present_3s_audio,subjonctif_present_1p,subjonctif_present_1p_audio,subjonctif_present_2p,subjonctif_present_2p_audio,subjonctif_present_3p,subjonctif_present_3p_audio,subjonctif_passe_1s,subjonctif_passe_1s_audio,subjonctif_passe_2s,subjonctif_passe_2s_audio,subjonctif_passe_3s,subjonctif_passe_3s_audio,subjonctif_passe_1p,subjonctif_passe_1p_audio,subjonctif_passe_2p,subjonctif_passe_2p_audio,subjonctif_passe_3p,subjonctif_passe_3p_audio,subjonctif_imparfait_1s,subjonctif_imparfait_1s_audio,subjonctif_imparfait_2s,subjonctif_imparfait_2s_audio,subjonctif_imparfait_3s,subjonctif_imparfait_3s_audio,subjonctif_imparfait_1p,subjonctif_imparfait_1p_audio,subjonctif_imparfait_2p,subjonctif_imparfait_2p_audio,subjonctif_imparfait_3p,subjonctif_imparfait_3p_audio,subjonctif_plus_que_parfait_1s,subjonctif_plus_que_parfait_1s_audio,subjonctif_plus_que_parfait_2s,subjonctif_plus_que_parfait_2s_audio,subjonctif_plus_que_parfait_3s,subjonctif_plus_que_parfait_3s_audio,subjonctif_plus_que_parfait_1p,subjonctif_plus_que_parfait_1p_audio,subjonctif_plus_que_parfait_2p,subjonctif_plus_que_parfait_2p_audio,subjonctif_plus_que_parfait_3p,subjonctif_plus_que_parfait_3p_audio,imperatif_present_2s,imperatif_present_2s_audio,imperatif_present_1p,imperatif_present_1p_audio,imperatif_present_2p,imperatif_present_2p_audio,imperatif_passe_2s,imperatif_passe_2s_audio,imperatif_passe_1p,imperatif_passe_1p_audio,imperatif_passe_2p,imperatif_passe_2p_audio,infinitif_present,infinitif_present_audio,infinitif_passe,infinitif_passe_audio,participe_present,participe_present_audio,participe_passe,participe_passe_audio,participe_passe_compose,participe_passe_compose_audio,labels
être,1,,,je suis,[sound:fr-conj-f52b2010-9946-11f0-9564-05a2f3b61c77.mp3],tu es,[sound:fr-conj-fc1461c0-9946-11f0-9564-05a2f3b61c77.mp3],il/elle est,[sound:fr-conj-d2422360-a06b-11f0-9564-05a2f3b61c77.mp3],nous sommes,[sound:fr-conj-0a5c8a50-9947-11f0-9564-05a2f3b61c77.mp3],vous êtes,[sound:fr-conj-13c8a650-9947-11f0-9564-05a2f3b61c77.mp3],ils/elles sont,[sound:fr-conj-d57058e0-a06b-11f0-9564-05a2f3b61c77.mp3],j’ai été,[sound:fr-conj-de0b98b0-a05d-11f0-9564-05a2f3b61c77.mp3],tu as été,[sound:fr-conj-e221e440-a05d-11f0-9564-05a2f3b61c77.mp3],il/elle a été,[sound:fr-conj-d91963b0-a06b-11f0-9564-05a2f3b61c77.mp3],nous avons été,[sound:fr-conj-e86e22a0-a05d-11f0-9564-05a2f3b61c77.mp3],vous avez été,[sound:fr-conj-ebb84490-a05d-11f0-9564-05a2f3b61c77.mp3],ils/elles ont été,[sound:fr-conj-dcc2e3b0-a06b-11f0-9564-05a2f3b61c77.mp3],j’étais,[sound:fr-conj-f24f4790-a05d-11f0-9564-05a2f3b61c77.mp3],tu étais,[sound:fr-conj-f6988a00-a05d-11f0-9564-05a2f3b61c77.mp3],il/elle était,[sound:fr-conj-e04b6e30-a06b-11f0-9564-05a2f3b61c77.mp3],nous étions,[sound:fr-conj-fd3cac60-a05d-11f0-9564-05a2f3b61c77.mp3],vous étiez,[sound:fr-conj-00c8b950-a05e-11f0-9564-05a2f3b61c77.mp3],ils/elles étaient,[sound:fr-conj-e4159590-a06b-11f0-9564-05a2f3b61c77.mp3],j’avais été,[sound:fr-conj-084624b0-a05e-11f0-9564-05a2f3b61c77.mp3],tu avais été,[sound:fr-conj-0cbc91a0-a05e-11f0-9564-05a2f3b61c77.mp3],il/elle avait été,[sound:fr-conj-e77e6310-a06b-11f0-9564-05a2f3b61c77.mp3],nous avions été,[sound:fr-conj-1660ad90-a05e-11f0-9564-05a2f3b61c77.mp3],vous aviez été,[sound:fr-conj-1a6063e0-a05e-11f0-9564-05a2f3b61c77.mp3],ils/elles avaient été,[sound:fr-conj-ed1e34d0-a06b-11f0-9564-05a2f3b61c77.mp3],je fus,[sound:fr-conj-21db5e40-a05e-11f0-9564-05a2f3b61c77.mp3],tu fus,[sound:fr-conj-25141b10-a05e-11f0-9564-05a2f3b61c77.mp3],il/elle fut,[sound:fr-conj-f0c7b4d0-a06b-11f0-9564-05a2f3b61c77.mp3],nous fûmes,[sound:fr-conj-2bfd83d0-a05e-11f0-9564-05a2f3b61c77.mp3],vous fûtes,[sound:fr-conj-2f76f320-a05e-11f0-9564-05a2f3b61c77.mp3],ils/elles furent,[sound:fr-conj-f486b8a0-a06b-11f0-9564-05a2f3b61c77.mp3],j’eus été,[sound:fr-conj-36104010-a05e-11f0-9564-05a2f3b61c77.mp3],tu eus été,[sound:fr-conj-39383400-a05e-11f0-9564-05a2f3b61c77.mp3],il/elle eut été,[sound:fr-conj-f80928a0-a06b-11f0-9564-05a2f3b61c77.mp3],nous eûmes été,[sound:fr-conj-3fd50360-a05e-11f0-9564-05a2f3b61c77.mp3],vous eûtes été,[sound:fr-conj-43417a60-a05e-11f0-9564-05a2f3b61c77.mp3],ils/elles eurent été,[sound:fr-conj-fc24a450-a06b-11f0-9564-05a2f3b61c77.mp3],je serai,[sound:fr-conj-4a82ee30-a05e-11f0-9564-05a2f3b61c77.mp3],tu seras,[sound:fr-conj-02d7e1e0-a06c-11f0-9564-05a2f3b61c77.mp3],il/elle sera,[sound:fr-conj-08664e80-a06c-11f0-9564-05a2f3b61c77.mp3],nous serons,[sound:fr-conj-0ce87b40-a06c-11f0-9564-05a2f3b61c77.mp3],vous serez,[sound:fr-conj-10d34a00-a06c-11f0-9564-05a2f3b61c77.mp3],ils/elles seront,[sound:fr-conj-13d03650-a06c-11f0-9564-05a2f3b61c77.mp3],j’aurai été,[sound:fr-conj-171d1760-a06c-11f0-9564-05a2f3b61c77.mp3],tu auras été,[sound:fr-conj-1a27bf50-a06c-11f0-9564-05a2f3b61c77.mp3],il/elle aura été,[sound:fr-conj-1e11cac0-a06c-11f0-9564-05a2f3b61c77.mp3],nous aurons été,[sound:fr-conj-210233f0-a06c-11f0-9564-05a2f3b61c77.mp3],vous aurez été,[sound:fr-conj-244a5a10-a06c-11f0-9564-05a2f3b61c77.mp3],ils/elles auront été,[sound:fr-conj-28245ff0-a06c-11f0-9564-05a2f3b61c77.mp3],je serais,[sound:fr-conj-2b616280-a06c-11f0-9564-05a2f3b61c77.mp3],tu serais,[sound:fr-conj-2f08e6b0-a06c-11f0-9564-05a2f3b61c77.mp3],il/elle serait,[sound:fr-conj-32635c50-a06c-11f0-9564-05a2f3b61c77.mp3],nous serions,[sound:fr-conj-35cf1000-a06c-11f0-9564-05a2f3b61c77.mp3],vous seriez,[sound:fr-conj-391adfa0-a06c-11f0-9564-05a2f3b61c77.mp3],ils/elles seraient,[sound:fr-conj-3c58cc90-a06c-11f0-9564-05a2f3b61c77.mp3],j’aurais été,[sound:fr-conj-3f81f900-a06c-11f0-9564-05a2f3b61c77.mp3],tu aurais été,[sound:fr-conj-42ed5e90-a06c-11f0-9564-05a2f3b61c77.mp3],il/elle aurait été,[sound:fr-conj-45fc4c40-a06c-11f0-9564-05a2f3b61c77.mp3],nous aurions été,[sound:fr-conj-49c51410-a06c-11f0-9564-05a2f3b61c77.mp3],vous auriez été,[sound:fr-conj-4d2f1a10-a06c-11f0-9564-05a2f3b61c77.mp3],ils/elles auraient été,[sound:fr-conj-504bea70-a06c-11f0-9564-05a2f3b61c77.mp3],que je sois,[sound:fr-conj-551e5a10-a06c-11f0-9564-05a2f3b61c77.mp3],que tu sois,[sound:fr-conj-582b9a10-a06c-11f0-9564-05a2f3b61c77.mp3],qu’il/elle soit,[sound:fr-conj-5b1bb520-a06c-11f0-9564-05a2f3b61c77.mp3],que nous soyons,[sound:fr-conj-5ec31240-a06c-11f0-9564-05a2f3b61c77.mp3],que vous soyez,[sound:fr-conj-61d07950-a06c-11f0-9564-05a2f3b61c77.mp3],qu’ils/elles soient,[sound:fr-conj-655bc2f0-a06c-11f0-9564-05a2f3b61c77.mp3],que j’aie été,[sound:fr-conj-6850c000-a06c-11f0-9564-05a2f3b61c77.mp3],que tu aies été,[sound:fr-conj-6b858530-a06c-11f0-9564-05a2f3b61c77.mp3],qu’il/elle ait été,[sound:fr-conj-6ea11d10-a06c-11f0-9564-05a2f3b61c77.mp3],que nous ayons été,[sound:fr-conj-722c8dc0-a06c-11f0-9564-05a2f3b61c77.mp3],que vous ayez été,[sound:fr-conj-7671b180-a06c-11f0-9564-05a2f3b61c77.mp3],qu’ils/elles aient été,[sound:fr-conj-79bd5a10-a06c-11f0-9564-05a2f3b61c77.mp3],que je fusse,[sound:fr-conj-7d17f6c0-a06c-11f0-9564-05a2f3b61c77.mp3],que tu fusses,[sound:fr-conj-806e4db0-a06c-11f0-9564-05a2f3b61c77.mp3],qu’il/elle fût,[sound:fr-conj-83e06a00-a06c-11f0-9564-05a2f3b61c77.mp3],que nous fussions,[sound:fr-conj-86e879e0-a06c-11f0-9564-05a2f3b61c77.mp3],que vous fussiez,[sound:fr-conj-8aa66c40-a06c-11f0-9564-05a2f3b61c77.mp3],qu’ils/elles fussent,[sound:fr-conj-8dd14660-a06c-11f0-9564-05a2f3b61c77.mp3],que j’eusse été,[sound:fr-conj-90c38450-a06c-11f0-9564-05a2f3b61c77.mp3],que tu eusses été,[sound:fr-conj-93dc3600-a06c-11f0-9564-05a2f3b61c77.mp3],qu’il/elle eût été,[sound:fr-conj-96ab82a0-a06c-11f0-9564-05a2f3b61c77.mp3],que nous eussions été,[sound:fr-conj-9ac26a70-a06c-11f0-9564-05a2f3b61c77.mp3],que vous eussiez été,[sound:fr-conj-9ddf88f0-a06c-11f0-9564-05a2f3b61c77.mp3],qu’ils/elles eussent été,[sound:fr-conj-a0fb47e0-a06c-11f0-9564-05a2f3b61c77.mp3],sois,[sound:fr-conj-a407c490-a06c-11f0-9564-05a2f3b61c77.mp3],soyons,[sound:fr-conj-a7482280-a06c-11f0-9564-05a2f3b61c77.mp3],soyez,[sound:fr-conj-abdf5de0-a06c-11f0-9564-05a2f3b61c77.mp3],aie été,[sound:fr-conj-af6688d0-a06c-11f0-9564-05a2f3b61c77.mp3],ayons été,[sound:fr-conj-b2aefd10-a06c-11f0-9564-05a2f3b61c77.mp3],ayez été,[sound:fr-conj-b668d0c0-a06c-11f0-9564-05a2f3b61c77.mp3],être,[sound:fr-conj-04eb8cb0-9555-11f0-9564-05a2f3b61c77.mp3],avoir été,[sound:fr-conj-bf1a7660-a06c-11f0-9564-05a2f3b61c77.mp3],étant,[sound:fr-conj-c2586350-a06c-11f0-9564-05a2f3b61c77.mp3],été,[sound:fr-conj-0e22dac0-9e21-11f0-9564-05a2f3b61c77.mp3],ayant été,[sound:fr-conj-c8e61780-a06c-11f0-9564-05a2f3b61c77.mp3],I_intransitif
avoir,2,,,j’ai,[sound:fr-conj-cc1389b0-a06c-11f0-9564-05a2f3b61c77.mp3],tu as,[sound:fr-conj-cf83a330-8ac0-11f0-9564-05a2f3b61c77.mp3],il/elle a,[sound:fr-conj-d2e831f0-a06c-11f0-9564-05a2f3b61c77.mp3],nous avons,[sound:fr-conj-cf8306f0-8ac0-11f0-9564-05a2f3b61c77.mp3],vous avez,[sound:fr-conj-cf826ab0-8ac0-11f0-9564-05a2f3b61c77.mp3],ils/elles ont,[sound:fr-conj-dcdd2d00-a06c-11f0-9564-05a2f3b61c77.mp3],j’ai eu,[sound:fr-conj-e08a5680-a06c-11f0-9564-05a2f3b61c77.mp3],tu as eu,[sound:fr-conj-e383c060-a06c-11f0-9564-05a2f3b61c77.mp3],il/elle a eu,[sound:fr-conj-e74b9dd0-a06c-11f0-9564-05a2f3b61c77.mp3],nous avons eu,[sound:fr-conj-eac979f0-a06c-11f0-9564-05a2f3b61c77.mp3],vous avez eu,[sound:fr-conj-edc331f0-a06c-11f0-9564-05a2f3b61c77.mp3],ils/elles ont eu,[sound:fr-conj-f1361190-a06c-11f0-9564-05a2f3b61c77.mp3],j’avais,[sound:fr-conj-f50716c0-a06c-11f0-9564-05a2f3b61c77.mp3],tu avais,[sound:fr-conj-f7ce7420-a06c-11f0-9564-05a2f3b61c77.mp3],il/elle avait,[sound:fr-conj-fa7ddcb0-a06c-11f0-9564-05a2f3b61c77.mp3],nous avions,[sound:fr-conj-ff6f4600-a06c-11f0-9564-05a2f3b61c77.mp3],vous aviez,[sound:fr-conj-024ee650-a06d-11f0-9564-05a2f3b61c77.mp3],ils/elles avaient,[sound:fr-conj-067efb70-a06d-11f0-9564-05a2f3b61c77.mp3],j’avais eu,[sound:fr-conj-09459580-a06d-11f0-9564-05a2f3b61c77.mp3],tu avais eu,[sound:fr-conj-0cc5bb90-a06d-11f0-9564-05a2f3b61c77.mp3],il/elle avait eu,[sound:fr-conj-10113d10-a06d-11f0-9564-05a2f3b61c77.mp3],nous avions eu,[sound:fr-conj-134c91f0-a06d-11f0-9564-05a2f3b61c77.mp3],vous aviez eu,[sound:fr-conj-164c8b80-a06d-11f0-9564-05a2f3b61c77.mp3],ils/elles avaient eu,[sound:fr-conj-19961130-a06d-11f0-9564-05a2f3b61c77.mp3],j’eus,[sound:fr-conj-1ca41480-a06d-11f0-9564-05a2f3b61c77.mp3],tu eus,[sound:fr-conj-1f936c40-a06d-11f0-9564-05a2f3b61c77.mp3],il/elle eut,[sound:fr-conj-22cf5d60-a06d-11f0-9564-05a2f3b61c77.mp3],nous eûmes,[sound:fr-conj-26675130-a06d-11f0-9564-05a2f3b61c77.mp3],vous eûtes,[sound:fr-conj-29d8f850-a06d-11f0-9564-05a2f3b61c77.mp3],ils/elles eurent,[sound:fr-conj-2d3ff110-a06d-11f0-9564-05a2f3b61c77.mp3],j’eus eu,[sound:fr-conj-31524500-a06d-11f0-9564-05a2f3b61c77.mp3],tu eus eu,[sound:fr-conj-34800550-a06d-11f0-9564-05a2f3b61c77.mp3],il/elle eut eu,[sound:fr-conj-3818bc70-a06d-11f0-9564-05a2f3b61c77.mp3],nous eûmes eu,[sound:fr-conj-3b5b8b60-a06d-11f0-9564-05a2f3b61c77.mp3],vous eûtes eu,[sound:fr-conj-3e5124b0-a06d-11f0-9564-05a2f3b61c77.mp3],ils/elles eurent eu,[sound:fr-conj-41322490-a06d-11f0-9564-05a2f3b61c77.mp3],j’aurai,[sound:fr-conj-44ce5e20-a06d-11f0-9564-05a2f3b61c77.mp3],tu auras,[sound:fr-conj-47abb480-a06d-11f0-9564-05a2f3b61c77.mp3],il/elle aura,[sound:fr-conj-4be7fea0-a06d-11f0-9564-05a2f3b61c77.mp3],nous aurons,[sound:fr-conj-4ef4f080-a06d-11f0-9564-05a2f3b61c77.mp3],vous aurez,[sound:fr-conj-527ae2f0-a06d-11f0-9564-05a2f3b61c77.mp3],ils/elles auront,[sound:fr-conj-55d55890-a06d-11f0-9564-05a2f3b61c77.mp3],j’aurai eu,[sound:fr-conj-58f36170-a06d-11f0-9564-05a2f3b61c77.mp3],tu auras eu,[sound:fr-conj-5bff9000-a06d-11f0-9564-05a2f3b61c77.mp3],il/elle aura eu,[sound:fr-conj-5edce660-a06d-11f0-9564-05a2f3b61c77.mp3],nous aurons eu,[sound:fr-conj-621a1000-a06d-11f0-9564-05a2f3b61c77.mp3],vous aurez eu,[sound:fr-conj-654670c0-a06d-11f0-9564-05a2f3b61c77.mp3],ils/elles auront eu,[sound:fr-conj-68819e90-a06d-11f0-9564-05a2f3b61c77.mp3],j’aurais,[sound:fr-conj-6bff2c90-a06d-11f0-9564-05a2f3b61c77.mp3],tu aurais,[sound:fr-conj-6f3948f0-a06d-11f0-9564-05a2f3b61c77.mp3],il/elle aurait,[sound:fr-conj-72566770-a06d-11f0-9564-05a2f3b61c77.mp3],nous aurions,[sound:fr-conj-755353c0-a06d-11f0-9564-05a2f3b61c77.mp3],vous auriez,[sound:fr-conj-797a4120-a06d-11f0-9564-05a2f3b61c77.mp3],ils/elles auraient,[sound:fr-conj-7cfc14e0-a06d-11f0-9564-05a2f3b61c77.mp3],j’aurais eu,[sound:fr-conj-804f1070-a06d-11f0-9564-05a2f3b61c77.mp3],tu aurais eu,[sound:fr-conj-83609630-a06d-11f0-9564-05a2f3b61c77.mp3],il/elle aurait eu,[sound:fr-conj-866b1710-a06d-11f0-9564-05a2f3b61c77.mp3],nous aurions eu,[sound:fr-conj-89e41130-a06d-11f0-9564-05a2f3b61c77.mp3],vous auriez eu,[sound:fr-conj-8d5199a0-a06d-11f0-9564-05a2f3b61c77.mp3],ils/elles auraient eu,[sound:fr-conj-90c1ba20-a06d-11f0-9564-05a2f3b61c77.mp3],que j’aie,[sound:fr-conj-93cab460-a06d-11f0-9564-05a2f3b61c77.mp3],que tu aies,[sound:fr-conj-96d200f0-a06d-11f0-9564-05a2f3b61c77.mp3],qu’il/elle ait,[sound:fr-conj-9a040700-a06d-11f0-9564-05a2f3b61c77.mp3],que nous ayons,[sound:fr-conj-9da1a020-a06d-11f0-9564-05a2f3b61c77.mp3],que vous ayez,[sound:fr-conj-a1165480-a06d-11f0-9564-05a2f3b61c77.mp3],qu’ils/elles aient,[sound:fr-conj-a444b110-a06d-11f0-9564-05a2f3b61c77.mp3],que j’aie eu,[sound:fr-conj-a76fd950-a06d-11f0-9564-05a2f3b61c77.mp3],que tu aies eu,[sound:fr-conj-ab66b600-a06d-11f0-9564-05a2f3b61c77.mp3],qu’il/elle ait eu,[sound:fr-conj-ae772a50-a06d-11f0-9564-05a2f3b61c77.mp3],que nous ayons eu,[sound:fr-conj-b15d0c30-a06d-11f0-9564-05a2f3b61c77.mp3],que vous ayez eu,[sound:fr-conj-b4402ef0-a06d-11f0-9564-05a2f3b61c77.mp3],qu’ils/elles aient eu,[sound:fr-conj-b73a5c20-a06d-11f0-9564-05a2f3b61c77.mp3],que j’eusse,[sound:fr-conj-ba6d2580-a06d-11f0-9564-05a2f3b61c77.mp3],que tu eusses,[sound:fr-conj-bde5f890-a06d-11f0-9564-05a2f3b61c77.mp3],qu’il/elle eût,[sound:fr-conj-c1225ee0-a06d-11f0-9564-05a2f3b61c77.mp3],que nous eussions,[sound:fr-conj-c40f6cb0-a06d-11f0-9564-05a2f3b61c77.mp3],que vous eussiez,[sound:fr-conj-c6ec9c00-a06d-11f0-9564-05a2f3b61c77.mp3],qu’ils/elles eussent,[sound:fr-conj-ca3a1950-a06d-11f0-9564-05a2f3b61c77.mp3],que j’eusse eu,[sound:fr-conj-cece9590-a06d-11f0-9564-05a2f3b61c77.mp3],que tu eusses eu,[sound:fr-conj-d1ca2250-a06d-11f0-9564-05a2f3b61c77.mp3],qu’il/elle eût eu,[sound:fr-conj-d4b22710-a06d-11f0-9564-05a2f3b61c77.mp3],que nous eussions eu,[sound:fr-conj-d7bf6710-a06d-11f0-9564-05a2f3b61c77.mp3],que vous eussiez eu,[sound:fr-conj-dae58640-a06d-11f0-9564-05a2f3b61c77.mp3],qu’ils/elles eussent eu,[sound:fr-conj-de0f00d0-a06d-11f0-9564-05a2f3b61c77.mp3],aie,[sound:fr-conj-e1441420-a06d-11f0-9564-05a2f3b61c77.mp3],ayons,[sound:fr-conj-e63f8f90-a06d-11f0-9564-05a2f3b61c77.mp3],ayez,[sound:fr-conj-e9e984c0-a06d-11f0-9564-05a2f3b61c77.mp3],aie eu,[sound:fr-conj-edfd8660-a06d-11f0-9564-05a2f3b61c77.mp3],ayons eu,[sound:fr-conj-f12f6560-a06d-11f0-9564-05a2f3b61c77.mp3],ayez eu,[sound:fr-conj-f419db20-a06d-11f0-9564-05a2f3b61c77.mp3],avoir,[sound:fr-conj-f7650e80-a06d-11f0-9564-05a2f3b61c77.mp3],avoir eu,[sound:fr-conj-fb79ac60-a06d-11f0-9564-05a2f3b61c77.mp3],ayant,[sound:fr-conj-feb85ca0-a06d-11f0-9564-05a2f3b61c77.mp3],"eu(e, s, es)",[sound:fr-conj-bcd70100-a217-11f0-9564-05a2f3b61c77.mp3],ayant eu,[sound:fr-conj-054f1180-a06e-11f0-9564-05a2f3b61c77.mp3],T_transitif_direct
